年月,统计项目,医生编号,医生,医生等级,报告数量,审核数量,总数量
2021-08,头部撰写数,01,戴榕全,高级,1,1,2
2021-09,头部撰写数,01,戴榕全,高级,2,0,2
2021-10,头部撰写数,01,戴榕全,高级,1,0,1
2021-11,头部撰写数,01,戴榕全,高级,4,1,5
2022-01,头部撰写数,01,戴榕全,高级,1,2,3
2022-02,头部撰写数,01,戴榕全,高级,1,3,4
2022-03,头部撰写数,01,戴榕全,高级,0,2,2
2022-04,头部撰写数,01,戴榕全,高级,1,4,5
2022-06,头部撰写数,01,戴榕全,高级,1,2,3
2022-07,头部撰写数,01,戴榕全,高级,0,4,4
2022-08,头部撰写数,01,戴榕全,高级,1,3,4
2022-09,头部撰写数,01,戴榕全,高级,1,4,5
2022-10,头部撰写数,01,戴榕全,高级,2,2,4
2022-11,头部撰写数,01,戴榕全,高级,1,2,3
2023-01,头部撰写数,01,戴榕全,高级,0,1,1
2023-02,头部撰写数,01,戴榕全,高级,2,0,2
2023-03,头部撰写数,01,戴榕全,高级,0,2,2
2023-05,头部撰写数,01,戴榕全,高级,1,2,3
2023-06,头部撰写数,01,戴榕全,高级,1,2,3
2023-07,头部撰写数,01,戴榕全,高级,0,2,2
2023-08,头部撰写数,01,戴榕全,高级,1,0,1
2023-09,头部撰写数,01,戴榕全,高级,2,3,5
2023-10,头部撰写数,01,戴榕全,高级,0,9,9
2023-11,头部撰写数,01,戴榕全,高级,3,14,17
2023-12,头部撰写数,01,戴榕全,高级,1,8,9
2024-01,头部撰写数,01,戴榕全,高级,5,14,19
2024-02,头部撰写数,01,戴榕全,高级,2,9,11
2024-03,头部撰写数,01,戴榕全,高级,0,5,5
2024-04,头部撰写数,01,戴榕全,高级,6,19,25
2024-05,头部撰写数,01,戴榕全,高级,0,7,7
2024-06,头部撰写数,01,戴榕全,高级,1,11,12
2024-07,头部撰写数,01,戴榕全,高级,3,15,18
2024-08,头部撰写数,01,戴榕全,高级,0,6,6
2024-09,头部撰写数,01,戴榕全,高级,3,14,17
2024-10,头部撰写数,01,戴榕全,高级,4,12,16
2024-11,头部撰写数,01,戴榕全,高级,4,15,19
2024-12,头部撰写数,01,戴榕全,高级,2,16,18
2025-01,头部撰写数,01,戴榕全,高级,2,7,9
2025-02,头部撰写数,01,戴榕全,高级,0,7,7
2025-03,头部撰写数,01,戴榕全,高级,1,6,7
2025-04,头部撰写数,01,戴榕全,高级,4,6,10
2025-05,头部撰写数,01,戴榕全,高级,4,30,34
2025-06,头部撰写数,01,戴榕全,高级,5,9,14
2025-07,头部撰写数,01,戴榕全,高级,0,10,10
2025-08,头部撰写数,01,戴榕全,高级,5,10,15
2025-09,头部撰写数,01,戴榕全,高级,4,26,30
2025-10,头部撰写数,01,戴榕全,高级,1,11,12
2025-11,头部撰写数,01,戴榕全,高级,1,30,31
2025-12,头部撰写数,01,戴榕全,高级,2,18,20
2026-01,头部撰写数,01,戴榕全,高级,2,20,22
2026-02,头部撰写数,01,戴榕全,高级,0,10,10
2026-03,头部撰写数,01,戴榕全,高级,4,13,17
2026-04,头部撰写数,01,戴榕全,高级,0,21,21
2026-05,头部撰写数,01,戴榕全,高级,0,29,29
2026-06,头部撰写数,01,戴榕全,高级,2,40,42
2026-07,头部撰写数,01,戴榕全,高级,4,35,39
2021-08,头部撰写数,02,刘蕾,高级,3,1,4
2021-11,头部撰写数,02,刘蕾,高级,0,2,2
2022-01,头部撰写数,02,刘蕾,高级,0,1,1
2022-02,头部撰写数,02,刘蕾,高级,1,1,2
2022-04,头部撰写数,02,刘蕾,高级,0,2,2
2022-05,头部撰写数,02,刘蕾,高级,1,0,1
2022-06,头部撰写数,02,刘蕾,高级,1,3,4
2022-07,头部撰写数,02,刘蕾,高级,1,0,1
2022-09,头部撰写数,02,刘蕾,高级,1,1,2
2022-10,头部撰写数,02,刘蕾,高级,1,0,1
2022-11,头部撰写数,02,刘蕾,高级,0,1,1
2022-12,头部撰写数,02,刘蕾,高级,0,1,1
2023-01,头部撰写数,02,刘蕾,高级,1,2,3
2023-05,头部撰写数,02,刘蕾,高级,0,2,2
2023-06,头部撰写数,02,刘蕾,高级,0,3,3
2023-08,头部撰写数,02,刘蕾,高级,1,2,3
2023-09,头部撰写数,02,刘蕾,高级,0,1,1
2023-10,头部撰写数,02,刘蕾,高级,1,6,7
2023-11,头部撰写数,02,刘蕾,高级,1,6,7
2023-12,头部撰写数,02,刘蕾,高级,3,6,9
2024-01,头部撰写数,02,刘蕾,高级,1,8,9
2024-02,头部撰写数,02,刘蕾,高级,0,2,2
2024-03,头部撰写数,02,刘蕾,高级,2,7,9
2024-04,头部撰写数,02,刘蕾,高级,0,1,1
2024-05,头部撰写数,02,刘蕾,高级,0,4,4
2024-06,头部撰写数,02,刘蕾,高级,2,8,10
2024-07,头部撰写数,02,刘蕾,高级,4,8,12
2024-08,头部撰写数,02,刘蕾,高级,3,2,5
2024-09,头部撰写数,02,刘蕾,高级,5,8,13
2024-10,头部撰写数,02,刘蕾,高级,3,9,12
2024-11,头部撰写数,02,刘蕾,高级,2,9,11
2024-12,头部撰写数,02,刘蕾,高级,2,2,4
2025-01,头部撰写数,02,刘蕾,高级,0,8,8
2025-02,头部撰写数,02,刘蕾,高级,0,8,8
2025-03,头部撰写数,02,刘蕾,高级,2,14,16
2025-04,头部撰写数,02,刘蕾,高级,5,22,27
2025-05,头部撰写数,02,刘蕾,高级,2,9,11
2025-06,头部撰写数,02,刘蕾,高级,5,13,18
2025-07,头部撰写数,02,刘蕾,高级,1,12,13
2025-08,头部撰写数,02,刘蕾,高级,5,14,19
2025-09,头部撰写数,02,刘蕾,高级,3,17,20
2025-10,头部撰写数,02,刘蕾,高级,6,27,33
2025-11,头部撰写数,02,刘蕾,高级,2,14,16
2025-12,头部撰写数,02,刘蕾,高级,8,18,26
2026-01,头部撰写数,02,刘蕾,高级,0,8,8
2026-02,头部撰写数,02,刘蕾,高级,0,12,12
2026-03,头部撰写数,02,刘蕾,高级,3,6,9
2026-04,头部撰写数,02,刘蕾,高级,2,5,7
2026-05,头部撰写数,02,刘蕾,高级,2,14,16
2026-06,头部撰写数,02,刘蕾,高级,0,18,18
2026-07,头部撰写数,02,刘蕾,高级,5,18,23
2021-08,头部撰写数,03,张博闻,高级,0,1,1
2021-09,头部撰写数,03,张博闻,高级,0,2,2
2021-10,头部撰写数,03,张博闻,高级,0,2,2
2022-01,头部撰写数,03,张博闻,高级,2,2,4
2022-02,头部撰写数,03,张博闻,高级,1,1,2
2022-03,头部撰写数,03,张博闻,高级,4,1,5
2022-05,头部撰写数,03,张博闻,高级,0,1,1
2022-06,头部撰写数,03,张博闻,高级,0,1,1
2022-07,头部撰写数,03,张博闻,高级,0,1,1
2022-08,头部撰写数,03,张博闻,高级,0,2,2
2022-11,头部撰写数,03,张博闻,高级,1,2,3
2023-01,头部撰写数,03,张博闻,高级,0,1,1
2023-05,头部撰写数,03,张博闻,高级,1,1,2
2023-06,头部撰写数,03,张博闻,高级,0,1,1
2023-07,头部撰写数,03,张博闻,高级,0,1,1
2023-08,头部撰写数,03,张博闻,高级,1,2,3
2023-09,头部撰写数,03,张博闻,高级,2,2,4
2023-10,头部撰写数,03,张博闻,高级,4,17,21
2023-11,头部撰写数,03,张博闻,高级,5,9,14
2023-12,头部撰写数,03,张博闻,高级,3,11,14
2024-01,头部撰写数,03,张博闻,高级,1,3,4
2024-02,头部撰写数,03,张博闻,高级,5,6,11
2024-03,头部撰写数,03,张博闻,高级,10,11,21
2024-04,头部撰写数,03,张博闻,高级,8,15,23
2024-05,头部撰写数,03,张博闻,高级,8,12,20
2024-06,头部撰写数,03,张博闻,高级,4,13,17
2024-07,头部撰写数,03,张博闻,高级,2,8,10
2024-08,头部撰写数,03,张博闻,高级,3,13,16
2024-09,头部撰写数,03,张博闻,高级,2,7,9
2024-10,头部撰写数,03,张博闻,高级,6,18,24
2024-11,头部撰写数,03,张博闻,高级,7,17,24
2024-12,头部撰写数,03,张博闻,高级,2,22,24
2025-01,头部撰写数,03,张博闻,高级,2,5,7
2025-02,头部撰写数,03,张博闻,高级,1,5,6
2025-03,头部撰写数,03,张博闻,高级,0,16,16
2025-04,头部撰写数,03,张博闻,高级,2,21,23
2025-05,头部撰写数,03,张博闻,高级,1,20,21
2025-06,头部撰写数,03,张博闻,高级,1,16,17
2025-07,头部撰写数,03,张博闻,高级,0,5,5
2025-08,头部撰写数,03,张博闻,高级,1,27,28
2025-09,头部撰写数,03,张博闻,高级,5,9,14
2025-10,头部撰写数,03,张博闻,高级,2,38,40
2025-11,头部撰写数,03,张博闻,高级,4,5,9
2025-12,头部撰写数,03,张博闻,高级,11,18,29
2026-01,头部撰写数,03,张博闻,高级,5,27,32
2026-02,头部撰写数,03,张博闻,高级,5,21,26
2026-03,头部撰写数,03,张博闻,高级,1,9,10
2026-04,头部撰写数,03,张博闻,高级,0,20,20
2026-05,头部撰写数,03,张博闻,高级,2,19,21
2026-06,头部撰写数,03,张博闻,高级,3,14,17
2026-07,头部撰写数,03,张博闻,高级,4,11,15
2021-08,头部撰写数,04,白璐,高级,1,0,1
2021-09,头部撰写数,04,白璐,高级,1,0,1
2021-11,头部撰写数,04,白璐,高级,1,0,1
2022-03,头部撰写数,04,白璐,高级,2,2,4
2022-04,头部撰写数,04,白璐,高级,1,2,3
2022-05,头部撰写数,04,白璐,高级,0,1,1
2022-06,头部撰写数,04,白璐,高级,0,1,1
2022-07,头部撰写数,04,白璐,高级,1,3,4
2022-08,头部撰写数,04,白璐,高级,1,2,3
2022-09,头部撰写数,04,白璐,高级,1,1,2
2022-10,头部撰写数,04,白璐,高级,2,0,2
2022-11,头部撰写数,04,白璐,高级,0,3,3
2022-12,头部撰写数,04,白璐,高级,0,1,1
2023-01,头部撰写数,04,白璐,高级,0,1,1
2023-03,头部撰写数,04,白璐,高级,2,0,2
2023-04,头部撰写数,04,白璐,高级,0,1,1
2023-05,头部撰写数,04,白璐,高级,0,1,1
2023-06,头部撰写数,04,白璐,高级,1,1,2
2023-07,头部撰写数,04,白璐,高级,1,1,2
2023-08,头部撰写数,04,白璐,高级,0,1,1
2023-09,头部撰写数,04,白璐,高级,0,1,1
2023-10,头部撰写数,04,白璐,高级,1,5,6
2023-11,头部撰写数,04,白璐,高级,5,9,14
2023-12,头部撰写数,04,白璐,高级,3,14,17
2024-01,头部撰写数,04,白璐,高级,0,6,6
2024-02,头部撰写数,04,白璐,高级,2,10,12
2024-03,头部撰写数,04,白璐,高级,3,12,15
2024-04,头部撰写数,04,白璐,高级,6,15,21
2024-05,头部撰写数,04,白璐,高级,12,16,28
2024-06,头部撰写数,04,白璐,高级,12,11,23
2024-07,头部撰写数,04,白璐,高级,10,8,18
2024-08,头部撰写数,04,白璐,高级,6,10,16
2024-09,头部撰写数,04,白璐,高级,11,14,25
2024-10,头部撰写数,04,白璐,高级,4,15,19
2024-11,头部撰写数,04,白璐,高级,7,18,25
2024-12,头部撰写数,04,白璐,高级,1,18,19
2025-01,头部撰写数,04,白璐,高级,0,9,9
2025-02,头部撰写数,04,白璐,高级,2,16,18
2025-03,头部撰写数,04,白璐,高级,10,15,25
2025-04,头部撰写数,04,白璐,高级,5,12,17
2025-05,头部撰写数,04,白璐,高级,10,25,35
2025-06,头部撰写数,04,白璐,高级,3,12,15
2025-07,头部撰写数,04,白璐,高级,15,30,45
2025-08,头部撰写数,04,白璐,高级,6,32,38
2025-09,头部撰写数,04,白璐,高级,5,13,18
2025-10,头部撰写数,04,白璐,高级,12,32,44
2025-11,头部撰写数,04,白璐,高级,6,32,38
2025-12,头部撰写数,04,白璐,高级,10,24,34
2026-01,头部撰写数,04,白璐,高级,6,28,34
2026-02,头部撰写数,04,白璐,高级,2,9,11
2026-03,头部撰写数,04,白璐,高级,3,22,25
2026-04,头部撰写数,04,白璐,高级,3,19,22
2026-05,头部撰写数,04,白璐,高级,9,60,69
2026-06,头部撰写数,04,白璐,高级,4,22,26
2026-07,头部撰写数,04,白璐,高级,3,17,20
2021-12,头部撰写数,05,周媛媛,高级,0,1,1
2022-06,头部撰写数,05,周媛媛,高级,2,1,3
2022-07,头部撰写数,05,周媛媛,高级,2,0,2
2022-08,头部撰写数,05,周媛媛,高级,0,1,1
2022-10,头部撰写数,05,周媛媛,高级,0,1,1
2023-01,头部撰写数,05,周媛媛,高级,1,0,1
2023-04,头部撰写数,05,周媛媛,高级,0,1,1
2023-05,头部撰写数,05,周媛媛,高级,1,3,4
2023-06,头部撰写数,05,周媛媛,高级,0,2,2
2023-07,头部撰写数,05,周媛媛,高级,1,2,3
2023-08,头部撰写数,05,周媛媛,高级,0,1,1
2023-11,头部撰写数,05,周媛媛,高级,0,5,5
2023-12,头部撰写数,05,周媛媛,高级,4,4,8
2024-01,头部撰写数,05,周媛媛,高级,12,4,16
2024-02,头部撰写数,05,周媛媛,高级,4,7,11
2024-03,头部撰写数,05,周媛媛,高级,15,20,35
2024-04,头部撰写数,05,周媛媛,高级,9,15,24
2024-05,头部撰写数,05,周媛媛,高级,4,8,12
2024-06,头部撰写数,05,周媛媛,高级,3,12,15
2024-07,头部撰写数,05,周媛媛,高级,1,13,14
2024-08,头部撰写数,05,周媛媛,高级,6,16,22
2024-09,头部撰写数,05,周媛媛,高级,4,16,20
2024-10,头部撰写数,05,周媛媛,高级,3,18,21
2024-11,头部撰写数,05,周媛媛,高级,5,21,26
2024-12,头部撰写数,05,周媛媛,高级,3,20,23
2025-01,头部撰写数,05,周媛媛,高级,2,5,7
2025-02,头部撰写数,05,周媛媛,高级,1,9,10
2025-03,头部撰写数,05,周媛媛,高级,1,16,17
2025-04,头部撰写数,05,周媛媛,高级,1,17,18
2025-05,头部撰写数,05,周媛媛,高级,1,14,15
2025-06,头部撰写数,05,周媛媛,高级,0,20,20
2025-07,头部撰写数,05,周媛媛,高级,2,17,19
2025-08,头部撰写数,05,周媛媛,高级,1,11,12
2025-09,头部撰写数,05,周媛媛,高级,3,14,17
2025-10,头部撰写数,05,周媛媛,高级,2,19,21
2025-11,头部撰写数,05,周媛媛,高级,3,20,23
2025-12,头部撰写数,05,周媛媛,高级,3,16,19
2026-01,头部撰写数,05,周媛媛,高级,6,30,36
2026-02,头部撰写数,05,周媛媛,高级,1,16,17
2026-03,头部撰写数,05,周媛媛,高级,2,28,30
2026-04,头部撰写数,05,周媛媛,高级,3,16,19
2021-10,头部撰写数,06,曲艺,高级,2,2,4
2021-11,头部撰写数,06,曲艺,高级,0,1,1
2022-02,头部撰写数,06,曲艺,高级,1,1,2
2022-04,头部撰写数,06,曲艺,高级,0,1,1
2022-06,头部撰写数,06,曲艺,高级,1,0,1
2022-07,头部撰写数,06,曲艺,高级,3,0,3
2022-11,头部撰写数,06,曲艺,高级,0,1,1
2022-12,头部撰写数,06,曲艺,高级,0,1,1
2023-01,头部撰写数,06,曲艺,高级,1,0,1
2023-03,头部撰写数,06,曲艺,高级,1,2,3
2023-04,头部撰写数,06,曲艺,高级,0,1,1
2023-05,头部撰写数,06,曲艺,高级,3,2,5
2023-06,头部撰写数,06,曲艺,高级,1,0,1
2023-07,头部撰写数,06,曲艺,高级,1,0,1
2023-09,头部撰写数,06,曲艺,高级,3,1,4
2023-10,头部撰写数,06,曲艺,高级,2,5,7
2023-11,头部撰写数,06,曲艺,高级,10,9,19
2023-12,头部撰写数,06,曲艺,高级,2,4,6
2024-01,头部撰写数,06,曲艺,高级,2,6,8
2024-02,头部撰写数,06,曲艺,高级,1,6,7
2024-03,头部撰写数,06,曲艺,高级,1,4,5
2024-04,头部撰写数,06,曲艺,高级,13,17,30
2024-05,头部撰写数,06,曲艺,高级,4,12,16
2024-06,头部撰写数,06,曲艺,高级,3,10,13
2024-07,头部撰写数,06,曲艺,高级,10,6,16
2024-08,头部撰写数,06,曲艺,高级,12,13,25
2024-09,头部撰写数,06,曲艺,高级,10,28,38
2024-10,头部撰写数,06,曲艺,高级,10,18,28
2024-11,头部撰写数,06,曲艺,高级,6,21,27
2024-12,头部撰写数,06,曲艺,高级,5,24,29
2025-01,头部撰写数,06,曲艺,高级,3,8,11
2025-02,头部撰写数,06,曲艺,高级,1,14,15
2025-03,头部撰写数,06,曲艺,高级,3,30,33
2025-04,头部撰写数,06,曲艺,高级,3,34,37
2025-05,头部撰写数,06,曲艺,高级,5,24,29
2025-06,头部撰写数,06,曲艺,高级,4,30,34
2025-07,头部撰写数,06,曲艺,高级,3,23,26
2025-08,头部撰写数,06,曲艺,高级,6,34,40
2025-09,头部撰写数,06,曲艺,高级,3,37,40
2025-10,头部撰写数,06,曲艺,高级,10,24,34
2025-11,头部撰写数,06,曲艺,高级,6,22,28
2025-12,头部撰写数,06,曲艺,高级,9,30,39
2026-01,头部撰写数,06,曲艺,高级,7,33,40
2026-02,头部撰写数,06,曲艺,高级,2,12,14
2026-03,头部撰写数,06,曲艺,高级,7,27,34
2026-04,头部撰写数,06,曲艺,高级,6,35,41
2026-05,头部撰写数,06,曲艺,高级,7,34,41
2026-06,头部撰写数,06,曲艺,高级,2,28,30
2026-07,头部撰写数,06,曲艺,高级,12,52,64
2021-12,头部撰写数,07,苏畅,高级,1,0,1
2022-04,头部撰写数,07,苏畅,高级,1,0,1
2022-06,头部撰写数,07,苏畅,高级,2,0,2
2022-07,头部撰写数,07,苏畅,高级,2,0,2
2022-08,头部撰写数,07,苏畅,高级,3,0,3
2022-10,头部撰写数,07,苏畅,高级,0,2,2
2022-11,头部撰写数,07,苏畅,高级,1,1,2
2022-12,头部撰写数,07,苏畅,高级,2,0,2
2023-01,头部撰写数,07,苏畅,高级,2,0,2
2023-02,头部撰写数,07,苏畅,高级,0,1,1
2023-03,头部撰写数,07,苏畅,高级,0,1,1
2023-04,头部撰写数,07,苏畅,高级,0,2,2
2023-05,头部撰写数,07,苏畅,高级,0,2,2
2023-06,头部撰写数,07,苏畅,高级,0,1,1
2023-08,头部撰写数,07,苏畅,高级,1,1,2
2023-09,头部撰写数,07,苏畅,高级,0,1,1
2023-10,头部撰写数,07,苏畅,高级,4,12,16
2023-11,头部撰写数,07,苏畅,高级,4,12,16
2023-12,头部撰写数,07,苏畅,高级,11,10,21
2024-01,头部撰写数,07,苏畅,高级,7,14,21
2024-02,头部撰写数,07,苏畅,高级,2,8,10
2024-03,头部撰写数,07,苏畅,高级,6,27,33
2024-04,头部撰写数,07,苏畅,高级,15,20,35
2024-05,头部撰写数,07,苏畅,高级,7,26,33
2024-06,头部撰写数,07,苏畅,高级,13,13,26
2024-07,头部撰写数,07,苏畅,高级,3,18,21
2024-08,头部撰写数,07,苏畅,高级,2,21,23
2024-09,头部撰写数,07,苏畅,高级,6,17,23
2024-10,头部撰写数,07,苏畅,高级,7,13,20
2024-11,头部撰写数,07,苏畅,高级,3,22,25
2024-12,头部撰写数,07,苏畅,高级,8,23,31
2025-01,头部撰写数,07,苏畅,高级,2,19,21
2025-02,头部撰写数,07,苏畅,高级,9,14,23
2025-03,头部撰写数,07,苏畅,高级,12,24,36
2025-04,头部撰写数,07,苏畅,高级,8,24,32
2025-05,头部撰写数,07,苏畅,高级,9,28,37
2025-06,头部撰写数,07,苏畅,高级,7,24,31
2025-07,头部撰写数,07,苏畅,高级,11,23,34
2025-08,头部撰写数,07,苏畅,高级,4,31,35
2025-09,头部撰写数,07,苏畅,高级,8,25,33
2025-10,头部撰写数,07,苏畅,高级,14,29,43
2025-11,头部撰写数,07,苏畅,高级,12,45,57
2025-12,头部撰写数,07,苏畅,高级,15,43,58
2026-01,头部撰写数,07,苏畅,高级,12,51,63
2026-02,头部撰写数,07,苏畅,高级,2,17,19
2026-03,头部撰写数,07,苏畅,高级,4,34,38
2026-04,头部撰写数,07,苏畅,高级,7,31,38
2026-05,头部撰写数,07,苏畅,高级,11,31,42
2026-06,头部撰写数,07,苏畅,高级,2,31,33
2026-07,头部撰写数,07,苏畅,高级,6,30,36
2022-04,头部撰写数,08,张志轩,高级,1,0,1
2022-05,头部撰写数,08,张志轩,高级,1,0,1
2022-06,头部撰写数,08,张志轩,高级,3,0,3
2022-08,头部撰写数,08,张志轩,高级,1,0,1
2022-12,头部撰写数,08,张志轩,高级,1,0,1
2023-01,头部撰写数,08,张志轩,高级,1,0,1
2023-02,头部撰写数,08,张志轩,高级,0,2,2
2023-03,头部撰写数,08,张志轩,高级,1,0,1
2023-05,头部撰写数,08,张志轩,高级,1,0,1
2023-06,头部撰写数,08,张志轩,高级,1,1,2
2023-08,头部撰写数,08,张志轩,高级,0,1,1
2023-09,头部撰写数,08,张志轩,高级,3,0,3
2023-10,头部撰写数,08,张志轩,高级,1,3,4
2023-11,头部撰写数,08,张志轩,高级,3,1,4
2023-12,头部撰写数,08,张志轩,高级,4,18,22
2024-01,头部撰写数,08,张志轩,高级,7,12,19
2024-02,头部撰写数,08,张志轩,高级,5,9,14
2024-03,头部撰写数,08,张志轩,高级,8,6,14
2024-04,头部撰写数,08,张志轩,高级,3,10,13
2024-05,头部撰写数,08,张志轩,高级,5,6,11
2024-06,头部撰写数,08,张志轩,高级,4,7,11
2024-07,头部撰写数,08,张志轩,高级,5,18,23
2024-08,头部撰写数,08,张志轩,高级,2,11,13
2024-09,头部撰写数,08,张志轩,高级,11,11,22
2024-10,头部撰写数,08,张志轩,高级,3,13,16
2024-11,头部撰写数,08,张志轩,高级,9,6,15
2024-12,头部撰写数,08,张志轩,高级,3,14,17
2025-01,头部撰写数,08,张志轩,高级,3,19,22
2025-02,头部撰写数,08,张志轩,高级,2,5,7
2025-03,头部撰写数,08,张志轩,高级,3,15,18
2025-04,头部撰写数,08,张志轩,高级,1,9,10
2025-05,头部撰写数,08,张志轩,高级,4,12,16
2025-06,头部撰写数,08,张志轩,高级,1,4,5
2025-07,头部撰写数,08,张志轩,高级,2,8,10
2025-08,头部撰写数,08,张志轩,高级,2,7,9
2025-09,头部撰写数,08,张志轩,高级,0,8,8
2025-10,头部撰写数,08,张志轩,高级,12,22,34
2025-11,头部撰写数,08,张志轩,高级,3,9,12
2025-12,头部撰写数,08,张志轩,高级,19,51,70
2026-01,头部撰写数,08,张志轩,高级,4,23,27
2026-02,头部撰写数,08,张志轩,高级,1,9,10
2026-03,头部撰写数,08,张志轩,高级,1,17,18
2026-04,头部撰写数,08,张志轩,高级,3,18,21
2026-05,头部撰写数,08,张志轩,高级,3,22,25
2026-06,头部撰写数,08,张志轩,高级,2,17,19
2026-07,头部撰写数,08,张志轩,高级,2,17,19
2022-04,头部撰写数,09,邝怡,高级,1,0,1
2022-08,头部撰写数,09,邝怡,高级,2,0,2
2022-09,头部撰写数,09,邝怡,高级,1,0,1
2022-11,头部撰写数,09,邝怡,高级,3,0,3
2022-12,头部撰写数,09,邝怡,高级,1,0,1
2023-03,头部撰写数,09,邝怡,高级,2,1,3
2023-04,头部撰写数,09,邝怡,高级,1,0,1
2023-05,头部撰写数,09,邝怡,高级,4,1,5
2023-06,头部撰写数,09,邝怡,高级,3,1,4
2023-07,头部撰写数,09,邝怡,高级,1,1,2
2023-09,头部撰写数,09,邝怡,高级,1,2,3
2023-10,头部撰写数,09,邝怡,高级,7,10,17
2023-11,头部撰写数,09,邝怡,高级,4,4,8
2023-12,头部撰写数,09,邝怡,高级,10,6,16
2024-01,头部撰写数,09,邝怡,高级,1,2,3
2024-02,头部撰写数,09,邝怡,高级,4,6,10
2024-03,头部撰写数,09,邝怡,高级,3,1,4
2024-04,头部撰写数,09,邝怡,高级,4,9,13
2024-05,头部撰写数,09,邝怡,高级,5,0,5
2024-06,头部撰写数,09,邝怡,高级,5,1,6
2024-07,头部撰写数,09,邝怡,高级,1,1,2
2024-08,头部撰写数,09,邝怡,高级,1,9,10
2024-09,头部撰写数,09,邝怡,高级,4,8,12
2024-10,头部撰写数,09,邝怡,高级,1,6,7
2024-11,头部撰写数,09,邝怡,高级,8,6,14
2024-12,头部撰写数,09,邝怡,高级,4,7,11
2025-01,头部撰写数,09,邝怡,高级,2,12,14
2025-02,头部撰写数,09,邝怡,高级,6,20,26
2025-03,头部撰写数,09,邝怡,高级,2,16,18
2025-04,头部撰写数,09,邝怡,高级,1,10,11
2025-05,头部撰写数,09,邝怡,高级,5,19,24
2025-06,头部撰写数,09,邝怡,高级,1,22,23
2025-07,头部撰写数,09,邝怡,高级,2,5,7
2025-08,头部撰写数,09,邝怡,高级,1,5,6
2025-09,头部撰写数,09,邝怡,高级,1,11,12
2025-10,头部撰写数,09,邝怡,高级,0,9,9
2025-11,头部撰写数,09,邝怡,高级,0,10,10
2025-12,头部撰写数,09,邝怡,高级,0,8,8
2026-01,头部撰写数,09,邝怡,高级,8,17,25
2026-02,头部撰写数,09,邝怡,高级,2,11,13
2026-03,头部撰写数,09,邝怡,高级,3,15,18
2026-04,头部撰写数,09,邝怡,高级,1,9,10
2026-05,头部撰写数,09,邝怡,高级,2,8,10
2026-06,头部撰写数,09,邝怡,高级,2,5,7
2026-07,头部撰写数,09,邝怡,高级,1,10,11
2022-11,头部撰写数,10,吴璇,高级,7,1,8
2023-05,头部撰写数,10,吴璇,高级,1,0,1
2023-06,头部撰写数,10,吴璇,高级,2,0,2
2023-07,头部撰写数,10,吴璇,高级,2,0,2
2023-08,头部撰写数,10,吴璇,高级,3,0,3
2023-09,头部撰写数,10,吴璇,高级,1,0,1
2023-10,头部撰写数,10,吴璇,高级,10,0,10
2023-11,头部撰写数,10,吴璇,高级,6,0,6
2023-12,头部撰写数,10,吴璇,高级,6,0,6
2024-01,头部撰写数,10,吴璇,高级,5,0,5
2024-02,头部撰写数,10,吴璇,高级,1,0,1
2024-03,头部撰写数,10,吴璇,高级,5,0,5
2024-04,头部撰写数,10,吴璇,高级,17,2,19
2024-05,头部撰写数,10,吴璇,高级,9,3,12
2024-06,头部撰写数,10,吴璇,高级,8,13,21
2024-07,头部撰写数,10,吴璇,高级,4,5,9
2024-08,头部撰写数,10,吴璇,高级,7,3,10
2024-09,头部撰写数,10,吴璇,高级,3,8,11
2024-10,头部撰写数,10,吴璇,高级,3,15,18
2024-11,头部撰写数,10,吴璇,高级,11,15,26
2024-12,头部撰写数,10,吴璇,高级,7,18,25
2025-01,头部撰写数,10,吴璇,高级,2,10,12
2025-02,头部撰写数,10,吴璇,高级,7,8,15
2025-03,头部撰写数,10,吴璇,高级,8,8,16
2025-04,头部撰写数,10,吴璇,高级,3,8,11
2025-05,头部撰写数,10,吴璇,高级,9,13,22
2025-06,头部撰写数,10,吴璇,高级,6,13,19
2025-07,头部撰写数,10,吴璇,高级,8,21,29
2025-08,头部撰写数,10,吴璇,高级,2,3,5
2025-09,头部撰写数,10,吴璇,高级,0,18,18
2025-10,头部撰写数,10,吴璇,高级,8,24,32
2025-11,头部撰写数,10,吴璇,高级,8,26,34
2025-12,头部撰写数,10,吴璇,高级,14,23,37
2026-01,头部撰写数,10,吴璇,高级,6,15,21
2026-02,头部撰写数,10,吴璇,高级,7,15,22
2026-03,头部撰写数,10,吴璇,高级,5,16,21
2026-04,头部撰写数,10,吴璇,高级,3,11,14
2026-05,头部撰写数,10,吴璇,高级,3,12,15
2026-06,头部撰写数,10,吴璇,高级,9,13,22
2026-07,头部撰写数,10,吴璇,高级,10,5,15
2023-10,头部撰写数,11,张秋梅,中级,7,0,7
2023-11,头部撰写数,11,张秋梅,中级,1,0,1
2023-12,头部撰写数,11,张秋梅,中级,4,0,4
2024-01,头部撰写数,11,张秋梅,中级,4,0,4
2024-02,头部撰写数,11,张秋梅,中级,3,0,3
2024-03,头部撰写数,11,张秋梅,中级,3,0,3
2024-04,头部撰写数,11,张秋梅,中级,2,0,2
2024-05,头部撰写数,11,张秋梅,中级,4,0,4
2024-06,头部撰写数,11,张秋梅,中级,3,0,3
2024-07,头部撰写数,11,张秋梅,中级,10,0,10
2024-08,头部撰写数,11,张秋梅,中级,9,0,9
